Ticker,Year,Quarter,NCSKEW,DUVOL,Sigma,Ret,Dturn,Size,Lev,ROA,Growth,Treat,Big4,Board,State_Owner,BM,Post,D,RISK_LV
AAV,2021,2,0.31815106453545533,0.41495853290199447,0.0630510085841466,0.0013802129462157171,-0.2277228235696942,13.305850920838253,0.3497558677474076,0.009165988290308458,,0,0,3,0,0.029056953267968994,0,0,0
AAV,2021,3,-0.6498277015114358,-1.461851864679638,0.10261826075488142,0.05560751420924766,0.16285766176704897,13.280562992077874,0.31034541633159696,0.02275742318153181,,0,0,3,0,0.015716814847960156,0,0,0
AAV,2021,4,-1.2060533424495206,-2.515481406125723,0.09054934467825004,-0.0048895294592166605,0.824880223288643,13.324629708253878,0.32207238852056735,0.017778547459017198,,0,0,3,0,0.018198044899767125,0,0,0
AAV,2022,1,-1.0129346436271371,-0.9770096710444728,0.0534715254621719,-0.0015905888981658605,-0.8708408752784838,13.807458224773447,0.18669649256687892,0.0003205713024166842,,0,0,3,0,0.036623587089745335,0,0,0
AAV,2022,2,0.14584164630705385,-0.003235588136976159,0.1324095937972796,-0.06758352261059951,-0.6852868948314068,13.837299446630762,0.210127521092887,0.0004520428520968624,-0.11005296446752713,0,0,3,0,0.1031511225259069,0,0,0
AAV,2022,3,-0.597402078535064,-1.6877010282728497,0.06039528991038512,-0.008311833623395786,-0.4337664594394699,13.890744182048364,0.24539969484341015,0.0062468985794914365,0.256872261411196,0,0,3,0,0.11964132352941176,0,0,0
AAV,2022,4,-1.8196355528459605,-2.4156410253856015,0.18060907762546524,-0.021138860311587,0.17746539932291405,13.893051986198778,0.244670218928658,0.0028020795353804182,-0.3498082658713251,0,0,3,0,0.18982069767441861,0,0,0
AAV,2023,1,-0.07973161357319677,-0.29533234300272665,0.04884169575217305,-0.006373819405643564,0.08658252122165777,13.892518820207691,0.2504782186009907,-0.006211749456043702,0.3197803538743136,0,0,3,0,0.20756948717948717,0,0,0
AAV,2023,2,0.3677935625353017,2.064721404819388,0.08156832591675503,0.028402383920515136,0.9574416877358409,13.875825484771337,0.2414321624598699,-0.0031520378093902106,-0.21178958559641298,0,0,3,0,0.1492088888888889,1,0,0
AAV,2023,3,-0.3896721576638904,-0.9404942360239888,0.08677254916476645,-0.004006474852030035,0.5263966280625993,13.74093678503452,0.14992382598277412,-0.005269690498611198,-0.9976602153227235,0,0,3,0,0.16101795918367348,1,0,0
AAV,2023,4,0.2749138793795206,0.2668641289372028,0.056278217684244375,-0.012120851836116962,-1.1637935515281956,13.739077577379629,0.15265961006634182,-0.004316644610293022,-0.9955857725353138,0,0,3,0,0.19146048780487804,1,0,0
AAV,2024,1,-0.3329100203260246,0.224523943035963,0.042866924943194946,-0.007016301837077978,0.0411346499089813,13.730365438432353,0.1504859654739116,-0.005240761429389641,-0.9632475313436147,0,0,3,0,0.2108581081081081,1,0,0
AAV,2024,2,-1.0344644962497693,-1.821728295007526,0.1882984755476175,0.04552610075047287,1.545082495295997,13.720643679887218,0.14616934929680603,-0.0036778732766497377,-0.9823771753632325,0,0,3,0,0.14119145454545454,1,0,0
AGG,2021,2,0.039738420460033154,0.06860923504575184,0.021056151738367796,0.01778790965480576,0.21963933010578884,16.14206195106714,0.7777379222785873,0.0006990441937496662,,1,1,5,0,0.0646044610931381,0,0,1
AGG,2021,3,-0.8304905342000006,-1.5174285757519996,0.030728080671354543,-0.010851279096780665,-0.3651687150589886,16.2942029391191,0.7944743347097213,0.015885579153319746,,1,1,5,0,0.08061534666491252,0,0,1
AGG,2021,4,-0.817381390512859,-1.2029455070157797,0.0559513881749863,0.014399771778218964,-0.5668366046747426,16.286116691046292,0.7925608561699478,0.0002448093403554841,,1,1,5,0,0.06736185456641687,0,0,1
AGG,2022,1,-0.2881695559743402,-1.0691532737620664,0.04626659624455484,0.01914762424073309,-0.49417359257190796,16.34641211963523,0.7870572521963691,0.017641705879300536,,1,1,5,0,0.05915910849713667,0,0,1
AGG,2022,2,1.753686683610072,3.5419099876620064,0.03316473624647791,-0.020272699341984526,-0.6431920673101512,16.48903487460461,0.8008574179648276,0.0002466367109566116,0.6415281509944827,1,1,5,0,0.08386657560521957,0,0,1
